
Key,Url,Title,Item Type,Publication Year,Author,Reviewer1,Reviewer2,Reviewer3,Reviewer4,Reviewer5,Overall,Agreement,Comment,Publication Title,ISBN,ISSN,DOI,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
C3VWDZHZ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962877989&doi=10.12669%2fpjms.322.10326&partnerID=40&md5=e4aac49222bbc99fa9da92b0146d6f80,Publish or Perish: Need to have another look?,journalArticle,2016,"Jawaid, Shaukat Ali",,,,-1,-1,-1,1,editorial,Pakistan Journal of Medical Sciences,,1682024X,10.12669/pjms.322.10326,,2016,2024-06-07 14:44:00,2024-06-07 14:44:00,,267 – 269,,2,32,,,,,,,,,,,,,,,,,Publisher: Professional Medical Publications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940729147&doi=10.1016%2fj.joi.2015.08.002&partnerID=40&md5=818ad7c3d02fca11a3227bcc1281d1d0,How to become an important player in scientific collaboration networks?,,2015,Ebadi A.; Schiffauerova A.,-1,-1,,,-1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949814483&doi=10.1108%2fAJIM-12-2014-0172&partnerID=40&md5=80293661960eea6bbd104291cd1fc03f,Efficacy of a giant component in co-authorship networks: Evidence from a Southeast Asian dataset in economics,,2016,Kumar S.,,-1,-1,,-1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.scopus.com/inward/record.uri?eid=2-s2.0-21344494899&doi=10.1007%2fBF01384088&partnerID=40&md5=bedfbf3ebb39b13853fccdef3b543c1b,The determinants of research performance: A study of Australian university economists,,1994,Harris G.; Kaine G.,,-1,,-1,-1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094215912&doi=10.1007%2fs11192-020-03746-5&partnerID=40&md5=f6087e1c7d9224690958466f8c07c308,The coauthorship networks of the most productive European researchers,,2021,Hâncean M.-G.; Perc M.; Lerner J.,-1,-1,,-1,,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995969113&doi=10.1371%2fjournal.pone.0166149&partnerID=40&md5=8b3f0c8488c5d2c16c6d7c95ea2a7276,Quantity and/or quality? The importance of publishing many papers,,2016,Sandström U.; Van Besselaar P.D.,-1,-1,,,-1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0040662040&doi=10.1007%2fBF02016774&partnerID=40&md5=7992a8cbd7f4608f1a19b9f5511eedb2,Dual approach to multiple authorship in the study of collaboration/scientific output relationship,,1986,Pravdić N.; Oluić-Vuković V.,-1,,,-1,-1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086662680&doi=10.1016%2fj.aej.2020.05.016&partnerID=40&md5=8967523c7f9c0a59f6a752186ce22f99,A bibliometric analysis of Atangana-Baleanu operators in fractional calculus,,2020,Templeton A.,0,-1,-1,,,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041057644&doi=10.1007%2fs12652-017-0521-5&partnerID=40&md5=911c07e75ce4114f98a7d63b4e89dcbe,An extended study of collaboration networks of Levantine biomedical researchers,,2018,Al-Ayyoub M.; Arkok B.; Jararweh Y.,-1,-1,,-1,,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991098081&partnerID=40&md5=3e71241654a2fa4981b4fefa28ce2ef4,Does quantity make a difference?,,2015,Van Den Besselaar P.; Sandstrom U.,,-1,-1,-1,,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987678178&doi=10.1002%2fasi.23580&partnerID=40&md5=2e9156f40ccdc21e3978b785ee24e316,"Author practices in citing other authors, institutions, and journals",,2016,Gazni A.; Ghaseminik Z.,-1,,-1,-1,,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121710103&doi=10.1080%2f10508422.2021.2015598&partnerID=40&md5=3f37cead6f527df5a8b0a98508ccfcd7,Evolution of research on honesty and dishonesty in academic work: a bibliometric analysis of two decades,,2023,Mahmud S.; Ali I.,-1,-1,,0,-1,-1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131419871&doi=10.1108%2fGKMC-01-2022-0012&partnerID=40&md5=641b358b42d23287123b641802ede7c3,Assessing the research profile of highly productive authors of Pakistan,,2024,Wahid N.; Warraich N.F.; Tahira M.,-1,,-1,,-1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650966613&doi=10.1177%2f1046878110387539&partnerID=40&md5=5dc6c65ff19424701a078c88ecefee53,Profiling 40 years of research in simulation & gaming,,2010,Bragge J.; Thavikulwat P.; Töyli J.,-1,,-1,,-1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"A Collapsing Academy, Part III: Scientometrics and Metric Mani",,,,-1,,-1,,-1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Watch out for cheats in citation gam,,,,-1,,,-1,-1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Quantifying the impact of weak, strong, and super ties in scientific careers",,,,-1,,-1,-1,,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cash incentives for papers go global,,,,,-1,-1,-1,,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gaming the metrics: Misconduct and manipulation in academic research,,,,,,1,-1,-1,-1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Prolificacy and visibility versus reputation in the hard sciences,,,,-1,,,-1,,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Skewed distributions of scientists’ productivity: a research program for the empirical analysis,,,,-1,,,-1,,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Letter to the Editor: publish, publish … cursed!",,,,-1,,,-1,,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Not the Last Word: The Academic Inflation Reduction Act,,,,-1,,,-1,,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,The metrics maze in science: navigating academic evaluation without journalistic pressures,,,,-1,,,-1,,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UVJ6NHV7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120980957&doi=10.5935%2f0004-2749.20210122&partnerID=40&md5=43ccb1539bcc4c262295bd28fa7315c0,Prolific Authors In Ophthalmology And Vision Science; [Autores Prolíficos Em Oftalmologia E Ciência Da Visão],journalArticle,2021,"Lansingh, Van C.; Eckert, Kristen A.; Quiroga, Armando E. Elizondo",,0,,0,,0,1,,Arquivos Brasileiros de Oftalmologia,,42749,10.5935/0004-2749.20210122,,2021,2024-06-07 14:44:02,2024-06-07 14:44:02,,624 – 627,,6,84,,,,,,,,,,,,,,,,,Publisher: Conselho Brasileiro De Oftalmologia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118221017&doi=10.1098%2frsos.210389&partnerID=40&md5=4152eaac0b6a63839203eb75b1ddf616,"The rapid, massive growth of COVID-19 authors in the scientific literature",,2021,Ioannidis J.P.A.; Salholz-Hillel M.; Boyack K.W.; Baas J.,,,-1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957858394&doi=10.1016%2fj.adiac.2010.05.001&partnerID=40&md5=6710b4badfa73e94e83b0dd04456fd5c,Giving credit where credit is due: Summary analysis of the most prolific authors in 15 high-impact accounting journals,,2010,Danielson M.G.; Heck J.L.,,0,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164843564&doi=10.1097%2fMD.0000000000034301&partnerID=40&md5=5f904e70266eebaf23b9fe4fb831475b,Visual impact beam plots: Analyzing research profiles and bibliometric metrics using the following-leading clustering algorithm (FLCA),,2023,Cheng Y.-Z.; Chien T.-W.; Ho S.Y.-C.; Chou W.,0,,0,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012108894&doi=10.5406%2famerjpsyc.130.1.0105&partnerID=40&md5=4a1367d6a9645f2f4c9ba38de2012067,Publish and Perish: Psychology's most prolific authors are not always the ones we remember,,2017,Green C.D.,,0,0,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X333ZZGV,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961233938&doi=10.1371%2fjournal.pone.0149504&partnerID=40&md5=894d908240844e3a1c533929418197f6,Researchers' individual publication rate has not increased in a century,journalArticle,2016,"Fanelli, Daniele; Larivière, Vincent",,1,,1,,1,1,,PLoS ONE,,19326203,10.1371/journal.pone.0149504,,2016,2024-06-07 14:43:57,2024-06-07 14:43:57,,,,3,11,,,,,,,,,,,,,,,,,Publisher: Public Library of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9ZPT9RXM,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089745691&doi=10.1007%2fs10734-020-00609-z&partnerID=40&md5=efce45aa1b9184d87f17490dc8887e9c,Being highly prolific in academic science: characteristics of individuals and their departments,journalArticle,2021,"Fox, Mary Frank; Nikivincze, Irina",1,,,1,,1,1,,Higher Education,,181560,10.1007/s10734-020-00609-z,,2021,2024-06-07 14:43:57,2024-06-07 14:43:57,,1237 – 1255,,6,81,,,,,,,,,,,,,,,,,Publisher: Springer Science and Business Media B.V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLYYJVS,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096035529&partnerID=40&md5=54b6b702c382ece3d3470f946c1d2db0,Highly prolific authors in medical science: From charisma to opportunism,journalArticle,2020,"Moris, Dimitrios",1,1,,,,1,1,,Journal of B.U.ON.,,11070625,,,2020,2024-06-07 14:44:04,2024-06-07 14:44:04,,2136 – 2140,,5,25,,,,,,,,,,,,,,,,,Publisher: Zerbinis Publications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNGPWC4R,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186256339&doi=10.1007%2fs11192-024-04940-5&partnerID=40&md5=f4bed3413513940cf5451d2ad7f04397,A network-driven study of hyperprolific authors in computer science,journalArticle,2024,"Vieira, Vinícius da F.; Ferreira, Carlos H. G.; Almeida, Jussara M.; Moreira, Edré; Laender, Alberto H. F.; Meira, Wagner; Gonçalves, Marcos André",1,,1,,,1,1,,Scientometrics,,1389130,10.1007/s11192-024-04940-5,,2024,2024-06-07 14:44:09,2024-06-07 14:44:09,,,,,,,,,,,,,,,,,,,,,,Publisher: Akademiai Kiado ZRt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR8BHAWS,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120475572&doi=10.1111%2focr.12551&partnerID=40&md5=8fa563a3b3b841e975ae22790e6dbfdc,Prolific authorship in orthodontic scientific publishing,journalArticle,2022,"Wong, Constance; Papageorgiou, Spyridon N.; Seehra, Jadbinder; Cobourne, Martyn T.",,1,,1,2,1,1,,Orthodontics and Craniofacial Research,,16016335,10.1111/ocr.12551,,2022,2024-06-07 14:44:10,2024-06-07 14:44:10,,416 – 428,,3,25,,,,,,,,,,,,,,,,,Publisher: John Wiley and Sons Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076669254&doi=10.1136%2febmental-2019-300122&partnerID=40&md5=860e6bac7441d1240658117472f05e24,Measuring an individual researcher's impact: New directions and challenges,,,,,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149853472&doi=10.1007%2fs11192-023-04676-8&partnerID=40&md5=4972a6ec89e12297c7b0cc7279b8abf2,The rise of hyperprolific authors in computer science: characterization and implications,,2023,"Moreira E.; Meira W., Jr.; Gonçalves M.A.; Laender A.H.F.",1,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058452458&doi=10.1007%2fs11192-018-2982-5&partnerID=40&md5=4f039235492a47e45a0ec069f9a0c00f,Productivity does not equal usefulness,,2019,Bornmann L.; Tekles A.,1,1,1,-1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122170281&doi=10.1371%2fjournal.pbio.3001133&partnerID=40&md5=c982a5e4c18e5903216132b4094bf51c,A survey of biomedical journals to detect editorial bias and nepotistic behavior,,2021,Scanff A.; Naudet F.; Cristea I.A.; Moher D.; Bishop D.V.M.; Locher C.,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121031597&doi=10.31577%2fEKONCAS.2021.08.05&partnerID=40&md5=65e2b8858efeaa275272e61d2da1694f,Global research talents: Analysis of their behavior and publication/citation patterns,,2021,Brzica D.,-1,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Over-optimization of academic publishing metrics: observing Good- hart’s Law in action,,,,,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Thousands of scientists publish a paper every five days,,,,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Too much of a good thing? An observational study of prolific authors,,,,1,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Inflated numbers of authors over time have not been just due to increasing research complexity,,,,2,2,1,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Business science: Overproduction, self-citations and Article processing charge (APC) | Ciencias empresariales: Sobreproducción, autocitas y tasa por tratamiento de artículos (APC)",,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Evolving patterns of extreme publishing behavior across science,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Identifying and analyzing extremely productive authors in intensive care medicine: A scientometric analysis,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
