Authors,Link,Title,Reviewer1,Reviewer2,Reviewer3,Reviewer4,Reviewer5,min,mode,overall,agreement,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,DOI,Abstract
Bhaskar R.; Onyia O.P.; Pandey D.K.; Ananda S.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166927350&doi=10.1057%2fs41264-023-00239-3&partnerID=40&md5=3c18d49a32f0fb97dbd05cfe74c264c9,Navigating the complexities of financial services marketing through a bibliometric analysis of the Journal of Financial Services Marketing (2009–2022),0,,,,-1,0,#N/A,0,1,2023,Journal of Financial Services Marketing,28,4,,724,747,23,10.1057/s41264-023-00239-3,"This study presents a comprehensive analysis of the 56 issues of the Journal of Financial Services Marketing (JFSM) published between 2009 and 2022, using bibliographic meta-data and scientometrics techniques. The analysis includes publication and citation trends, the most prolific authors, bibliographic dissection of authors, their affiliated countries, co-citations of journals, and co-occurrences of keywords. Additionally, using network analysis, the study identifies major themes discussed in the JFSM volumes and issues during the 14-year period, develops seven clusters of JFSM publications, and performs content analysis of the articles in each cluster to suggest future research possibilities. The study shows that in the inclusive 14 years between 2009 and 2022, the JFSM made significant scholarly contributions to the field of financial services marketing by publishing 409 cutting-edge research papers with 3005 citations, and providing a platform for exchanging insightful ideas among research scholars and industry practitioners in the field. © 2023, The Author(s), under exclusive licence to Springer Nature Limited."
Huang L.; Jia L.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175150179&doi=10.1109%2fSCSET58950.2023.00055&partnerID=40&md5=04a5e58a56dff8a688aa517e79a736d2,"Status, Hotspots and Evolutionary Path of Foreign Research on Digital Immersion Technologies",,0,,,-1,0,#N/A,0,1,2023,"Proceedings - 2023 International Seminar on Computer Science and Engineering Technology, SCSET 2023",,,,213,215,2,10.1109/SCSET58950.2023.00055,"Digital immersive art has received a lot of attention in recent years, and research results are abundant. In order to explore the progress of international research on digital immersive art and to grasp the development direction and evolution trend of the field of digital immersive art, the article borrows the knowledge mapping software CiteSpace and conducts a visual analysis of the countries or regions, highly productive authors and institutions, and keywords of 1457 documents on digital immersive art selected from the WOS core collection database. The study found that the current research in the field of digital immersive art continues to increase in interest, with close collaboration between authors and loose collaboration between institutions. Research hotspots are mainly focused on virtual reality, digital art, immersive interaction, and games. Neutral networks, artificial intelligence, and deep learning are also receiving continued attention. © 2023 IEEE."
Maulana F.I.; Lestari D.; Purnomo A.; Carollina D.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182383870&doi=10.1063%2f5.0183065&partnerID=40&md5=fe730e0ce23a3844397786eb86de7b02,Applied Artificial Intelligence in Healthcare Research with Bibliometric Approach,0,,,,-1,0,#N/A,0,1,2023,AIP Conference Proceedings,2865,1,20002,,,,10.1063/5.0183065,"Artificial intelligence (AI) in healthcare is becoming increasingly important, given its potential to optimize healthcare resources, such as generating and analyzing healthcare data, facilitating better patient experiences, increasing healthcare professional satisfaction, reducing per capita costs, and increasing population health. Most research focuses on the potential benefits and barriers of implementing AI in healthcare. At the same time, only a few describe rational research opportunities and trends for developing Applied Artificial Intelligence in Healthcare research. In this study, a graphical mapping of scientific publications and research trends in the Applied Artificial Intelligence in the Healthcare sector worldwide was conducted using biometric analysis. The Scopus database was used to collect information and conduct online analysis using the Scopus website. A demonstration of bibliometric network mapping was conducted using VOSViewer. The selection of articles starts by searching based on the desired keywords and year restrictions. Then the database was exported as RIS and CSV format files. Based on the search results from the Scopus database for the last five years, researchers obtained 492 scientific publications published between 2012 and 2021. We also use VOSViewer to map the network. According to the database, researchers in United States had the most published papers indexed by Scopus among the most prolific authors (N=98), with the India coming second (N=72) and the China third (N=48). This study recommends combining the research subjects of Applied Artificial Intelligence in Healthcare: Internet, Covid, Artificial Intelligence, Dataset, abbreviated with the ICAD research theme. © 2023 American Institute of Physics Inc.. All rights reserved."
Guan W.; Jin M.; Dong C.; Gong H.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144013844&doi=10.1016%2fj.jlp.2022.104958&partnerID=40&md5=e596c83201ba37fe4eabe57658017432,Analysis on research trends with dust explosions by bibliometric approach,,0,,,-1,0,#N/A,0,1,2023,Journal of Loss Prevention in the Process Industries,81,,104958,,,,10.1016/j.jlp.2022.104958,"Highly destructive combustible dust explosions, which is prone to cause secondary explosion, has been a concern in industrial processes. To understand the current development and status of research on dust explosions, 1276 publications related to dust explosions from 1998 to 2021 were indexed through the Web of Science Core Collection database. CiteSpace and VOSviewer were used to visualize and analyze the collected literature information. The number of articles related to dust explosions has increased from 12 in 1998 to 191 in 2021. China, the United States, and Canada are the major contributors in this field. Dalhousie University, Beijing Institute of Technology, and Dalian University of Technology are at the core of dust explosion research. Wei Gao, Paul Amyotte, and Chi-Min Shu are the most prolific researchers. Journal of Loss Prevention in the Process Industries, Powder Technology, and Process Safety and Environmental Protection are the major sources of publications related to dust explosions. The research topic of dust explosions mainly evolves into four aspects: explosion characteristics and influencing factors, research media, explosion suppression, and numerical simulation. New research hotspots have appeared related to gas–dust hybrid mixtures, nanomaterials, and powder suppressants. The results can help researchers in the dust explosion field to quickly determine the research frontier and the overall situation. © 2022 Elsevier Ltd"
Xu R.; Wang L.; Hou J.; Wang X.; Wang Y.; Wang K.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173961832&doi=10.7150%2fjca.87196&partnerID=40&md5=eea77f12a933a8d0d2127fc2a3e2be10,Knowledge mapping and current trends of global research on snoRNA in the field of cancer,,0,,,-1,0,#N/A,0,1,2023,Journal of Cancer,14,14,,2596,2607,11,10.7150/jca.87196,"Cancer is a major health hazard for humans. Recent studies have indicated the involvement of small nucleolar RNAs (snoRNAs) in the occurrence and development of cancer and indicated its potential role as a diagnostic/prognostic marker and therapeutic target. The purpose of this study was to use the bibliometrics method to analyze the published literature on this subject. We collected articles pertaining to the field of snoRNA and cancer from the Web of Science Core Collection database. The data were analyzed to identify the research hotspots and frontiers. The number of articles in this field was low in the early period. Chu Liang and Montanaro Lorenzo were the most prolific authors on this subject, while Jiang and Feng were the most frequently cited authors. In China, three institutions published the most articles, namely Wuhan Univ, China Med Univ, and Guangxi Med Univ. The journal with the highest number of articles on this subject was Oncotarget. The country with the most published articles was China. Analysis of keywords and burst words indicated that early studies mainly focused on molecular mechanisms. Available evidence suggests the involvement of snoRNAs in the molecular mechanism of cancer development and their potential role as a diagnostic and prognostic biomarker. © The author(s). This is an open access article distributed under the terms of the Creative Commons Attribution License."
Banchi P.; Rota A.; Bertero A.; Domain G.; Hassan H.A.; Lannoo J.; Van Soom A.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123556664&doi=10.3390%2fani12030336&partnerID=40&md5=b242403e05218441499ef81e84f3ee1a,Trends in Small Animal Reproduction: A Bibliometric Analysis of the Literature,0,,,0,-1,0,0,0,1,2022,Animals,12,3,336,,,,10.3390/ani12030336,"Small animal reproduction (SAR) is a main research field in veterinary medicine and bibliometric analyses are useful to investigate trends in specific research areas. The objective of the present study was to conduct a bibliometric analysis of the literature of the last decade on SAR. A search equation was created, and documents were retrieved from the Web of Science database. Documents were manually revised, categorized and R software version 4.1.2 with Bibliometrix R package version 3.1 and MS Excel were used to perform the analyses. The included documents (n = 1470) were mainly research articles (78%). The top countries for the number of documents and citations were Brazil, United States, Italy, Poland, and Korea. These also account for the most prolific authors and institutions. Analyses by author keywords, categories, and recent reviews of the literature suggest that research on the canine species is more abundant than research on the feline one and that reproductive biotechnologies are a main research focus. Some clinical topics are still considered niche or neglected themes (e.g., semen collection in tomcats, neonatology). However, heterogeneity and ambiguity in keywords and categories are undeniable. This study offers interesting insights, providing definitions for main keywords in the field of SAR. © 2022 by the authors. Licensee MDPI, Basel, Switzerland."
De La Hoz-M J.; Fernandez-Gómez M.J.; Mendes S.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120381853&doi=10.1111%2farea.12757&partnerID=40&md5=c8fdcc7079f0e4fcd2323e031fe44edc,Trends and topics in geographically weighted regression research from 1996 to 2019,,0,,,-1,0,#N/A,0,1,2022,Area,54,1,,105,117,12,10.1111/area.12757,"This research was conducted in order to improve the understanding of the structure, contents, and trend of topics within the existing literature in the field of geographically weighted regression. Additionally, it intended to determine and produce a mapping of scientific networks in the domain of geographically weighted regression. The proposed methodology implements a combination of bibliometric techniques and modelling of topics in order to extract the latent topics from the collected literature by utilising latent Dirichlet allocation and a machine learning tool. The results identified the most prolific authors, the most cited authors, the most representative articles and journals, and the countries which are responsible for the publications. The information, practices and views in this article are those of the author(s) and do not necessarily reflect the opinion of the Royal Geographical Society (with IBG). © 2021 Royal Geographical Society (with the Institute of British Geographers)."
Srivastava P.R.; Eachempati P.; Sharma D.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130619927&doi=10.3727%2f152599521X16106577965161&partnerID=40&md5=d269a6f33aaea8bb956458260a66726e,FOURTEEN YEARS OF EVENT MANAGEMENT: A BIBLIOMETRIC ANALYSIS,0,,,,-1,0,#N/A,0,1,2022,Event Management,26,3,,531,545,14,10.3727/152599521X16106577965161,"Event Management is a well-established international journal in event, festival, and culture management, which has published high-quality peer-reviewed research from the last 20 years. The current study represents a retrospective overview of the journal’s publication journey over the previous 14 years from 2006 to 2020. This period was chosen due to the availability of data in Scopus. The number of publications and citations received by these publications globally has exhibited continuous growth, which signifies the journal’s widespread presence. This article also analyzes the journal’s impact, its prominent topics, and its most prolific authors, including their affiliated institutions and countries. The multiple dimensionality scaling analysis initially classified the publications of the journal into five broad clusters: Cluster 1 (“Event Management”), Cluster 2 (“Customer Satisfaction and Service Quality”), Cluster 3 (“Mega-Events”), Cluster 4 (“Legacy Sports”), and Cluster 5 (“Economic Feasibility”). Clusters 4 and 5 are combined into a single cluster to improve the journal coverage. The coauthorship networks among authors, institutions, countries, and keywords unveil the collaboration structure among this journal’s contributors. The results of the current study provide useful insights for the potential contributors and global audience of the journal and the editorial board of the journal in terms of emerging topics for research. Copyright © 2022 Cognizant, LLC."
Sofyan D.; Abdullah K.H.; Gazali N.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147012977&doi=10.32802%2fASMSCJ.2022.1277&partnerID=40&md5=4360d6247d7473362d597d527cc960d7,A Bibliometric Review of Basketball Game: Publication Trends Over the Past Five Decades,,0,,,-1,0,#N/A,0,1,2022,ASM Science Journal,17,,,,,,10.32802/ASMSCJ.2022.1277,"This study aims to examine the evolution of basketball-related scientific publications in the Scopus database by using a variety of bibliometric indicators, such as publication trends, the most influential countries, the most productive authors, and author keywords. From 1969 until 2021, the Scopus database registered 584 basketball publications. This review scrutinised the bibliographic results using Microsoft Excel, Publish or Perish (PoP), and VOSviewer. The production pattern fluctuated throughout the year, but after 2011 it climbed dramatically. In 2006, publications on basketball research had increased to double digits, with 11 documents. Significantly, between 2020 and 2021, 140 publications were published, with 66 in 2020 and 74 in 2021 indicating scholarly interest. The United States is the most productive country, with 210 academic works. J. Sampaio and J. Yanci were the most prolific authors. The Universidad de Granada rose to the top of the productivity rankings. This study has several limitations; the method applied in this study needs to clarify how to find, categorise, and use a database. It’s worth noting that data can also be obtained from other databases © 2022, ASM Science Journal.All Rights Reserved."
Cai D.-C.; Chen C.-Y.; Lo T.-Y.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145567577&doi=10.3390%2fhealthcare11010009&partnerID=40&md5=fb53872edc46f263bbdbaab6bc0e48df,Foot Reflexology: Recent Research Trends and Prospects,,0,,,-1,0,#N/A,0,1,2023,Healthcare (Switzerland),11,1,9,,,,10.3390/healthcare11010009,"Foot reflexology is a non-invasive complementary therapy that is increasingly being accepted by modern people in recent years. To understand the research trends and prospects of foot reflexology in the past 31 years, this study used the Web of Science core collection as the data source and two visualization tools, COOC and VOSviewer, to analyze the literature related to the field of foot reflexology from 1991 to 2021. This study found that the number of articles published in the field of foot reflexology has been increasing year by year, and the top three journals with the most articles are Complementary Therapies in Clinical Practice, Therapies in Medicine, and the Journal of Alternative and Complementary Medicine. The top three most prolific authors are Wyatt, Sikorskii, and Victorson, and the core institutions in the field of foot reflexology are Michigan State University, Northwestern University, Tehran University of Medical Sciences, and the University of Exeter. Foot reflexology has been shown to have a moderating effect on anxiety, fatigue, and cancer, and is a topic of ongoing and future research. This study uses this bibliometric analysis of foot reflexology literature to provide an overview of prior knowledge and a reference direction for modern preventive medicine. © 2022 by the authors."
Prakash S.; Kumar S.; Soni G.; Mahto R.V.; Pandey N.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108979461&doi=10.1108%2fIJLSS-12-2020-0219&partnerID=40&md5=56eeefe98f773cb580fbc0f3399267cc,A decade of the international journal of lean six sigma: bibliometric overview,,0,,,-1,0,#N/A,0,1,2022,International Journal of Lean Six Sigma,13,2,,295,341,46,10.1108/IJLSS-12-2020-0219,"Purpose: This study aims to present an overview of leading research trends in the lean six sigma domain published in the International Journal of Lean Six Sigma (IJLSS) since its inception. Design/methodology/approach: The study analyses articles published between 2010 and 2019 in IJLSS using the bibliometric technique. The results of data analysis identify the most prolific authors, their affiliation, citation trends and highly cited articles from the journal. Further, a graphical analysis involving bibliographic coupling and co-citation analysis of the corpus enriches the investigation. Findings: The results of the bibliometric analysis suggest that the number of IJLSS’s publications and citations grew markedly over time (from 4 citations in 2010 to nearly 1,324 in 2019). The organizational diversity and collaboration among authors publishing in IJLSS are trending upwards. Case study and focus group are the two most common research designs in publications. In the study, three major themes emerged: implementation of lean on business, integration of lean and six sigma and the effects of lean six sigma on businesses. Practical implications: The study finding informs and educates practitioners and scholars about various qualitative research tools, applications and methods of implementing lean six sigma tools in different industry sectors. Originality/value: The study uses bibliometric analysis to propose a novel categorization of research published in IJLSS and to report on the utilization of various lean tools in the journal. The study provides guidance for new future research besides offering a thorough introspection of the lean and six sigma domains. © 2021, Emerald Publishing Limited."
